StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_hr_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,decision_med_2,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,QID30,Q30,Q31_1,Q44,Q47,Q35,Q32,Q36,Q50,Q49,AnalystName,ReportType,FL_3_DO,FL_5_DO,FL_9_DO
2025-08-14 14:04:03,2025-08-14 14:09:12,IP Address,100,309,True,2025-08-14 14:09:13,R_7pMtopQrYJM8m0z,anonymous,EN,0.8999999761581421,67301111865cf8fa81ac7897,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,5,5,4=Neutral,5,3,3,5,5,4=Neutral,3,4=Neutral,3,3,6,3,5,"To study discrimination in whether we believe a report's recommendation more depending on the source (name or name recognition of the company or name of the analyst -- for example, an English last name or an Indian last name).","People don't trust foreign analysts and/or small, unknown research companies as much (or they only trust foreign analysts if the firm is well known like Goldman Sachs)",6,Nothing stood out,,,,,,,Christopher Davis,Med,FL_44,FL_112,Pre-testSet1
2025-08-14 14:02:49,2025-08-14 14:11:06,IP Address,100,497,True,2025-08-14 14:11:07,R_1gFjP01FYS82BiZ,anonymous,EN,1,6763f1133bd483762829334e,,,,,,,,,,,,Apollo Medical (APLO),,,,,,,,,,,,,,,,,,,,,,,,,6,6,7=Strongly agree,3,6,7=Strongly agree,2,3,3,1=Strongly Disagree,6,2,5,6,6,6,7=Strongly agree,7=Strongly agree,determine how people interpret information,understanding investments,7=Extremely realistic,its realistic because i analyze companies before investing in them,no,,,,,,J.M. Wright,HR,FL_43,FL_96,Pre-testSet1
2025-08-14 14:03:48,2025-08-14 14:17:51,IP Address,100,843,True,2025-08-14 14:17:52,R_7fvZi7jldGicuU4,anonymous,EN,1,66f0c2c17d872e5874877985,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,6,5,5,6,2,3,5,6,5,3,5,5,5,6,making finanical decision,-,7=Extremely realistic,-,,,,,,,Christopher Davis,HR,FL_44,FL_94,Pre-testSet1
2025-08-14 14:08:20,2025-08-14 14:17:58,IP Address,100,577,True,2025-08-14 14:17:58,R_1ZBsIRNSNHTv8Ya,anonymous,EN,1,65cb6d799d023df9be06bfb6,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,6,6,7=Strongly agree,4=Neutral,5,5,5,5,4=Neutral,2,5,2,6,3,6,4=Neutral,6,3,"ability to understand technical writing, risk tolerance, adherence to authority figures",No,7=Extremely realistic,"very technical specifications, discussed investment strategies related to timing, well written",,,,,,,Sarah Brown,Med,FL_45,FL_102,Pre-testSet1
2025-08-14 14:10:31,2025-08-14 14:20:32,IP Address,100,600,True,2025-08-14 14:20:33,R_563WEZJ9oDx7Eup,anonymous,EN,0.8999999761581421,6848926c273c09f28311df5c,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,,,,,3,3,4=Neutral,4=Neutral,6,6,3,2,6,6,3,6,4=Neutral,7=Strongly agree,7=Strongly agree,5,6,6,,,,,,Yes,No,Yes,Strongly influenced it especially the fact that both the data/facts and the recommendation came from AI,"I didn't really feel confident about the accuracy of the ""facts"" in the report but at some point you asked if I felt like I could check the accuracy facts. I think I COULD check if I knew the companies (so I responded ""agree"" to that question) but that does not mean I expect the ""facts"" or data to be accurate. So that was an odd question... I mean, I know I could check but I suspect I would find some inaccurate details if I checked. Maybe that's what you are going for but if not, I was a bit confused about that question and what it was asking me",Sarah Brown,Med,FL_45,FL_108,Pre-testSet2
2025-08-14 14:10:28,2025-08-14 14:24:07,IP Address,100,819,True,2025-08-14 14:24:08,R_1D7wCkJ6goQCeOG,anonymous,EN,1,672c1b00e4ed661368e89749,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,3,2,2,1=Strongly Disagree,6,1=Strongly Disagree,1=Strongly Disagree,2,3,6,3,1=Strongly Disagree,1=Strongly Disagree,7=Strongly agree,2,6,2,,,,,,I don't recall,Yes,No,Very little,,J.M. Wright,HR,FL_43,FL_15,Pre-testSet2
2025-08-14 14:22:44,2025-08-14 14:26:11,IP Address,100,206,True,2025-08-14 14:26:11,R_5O8mGlOIqU8i8ge,anonymous,EN,0.8999999761581421,662938efd711c3639bd68aa3,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4=Neutral,4=Neutral,5,6,4=Neutral,2,1=Strongly Disagree,4=Neutral,3,4=Neutral,3,6,3,5,2,,,,,,No,No,No,"Not really. I saw simiilar disclosures in my own work and I am sure it will be standard in finance, too, soon","fun study, thank you for the opportunity",J.M. Wright,HR,FL_43,FL_18,Pre-testSet2
2025-08-14 14:26:32,2025-08-14 14:30:22,IP Address,100,230,True,2025-08-14 14:30:23,R_5S1OpYLgS596A9c,anonymous,EN,0.8999999761581421,682a50d2769e21e578e1c3d4,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,4=Neutral,4=Neutral,5,2,3,6,6,5,6,7=Strongly agree,6,5,4=Neutral,5,4=Neutral,financial literacy,seeing how different people make decisions based on complex financial information,6,Report felt realistic. And I was told the companies were real.,,,,,,,Sarah Brown,HR,FL_45,FL_74,Pre-testSet1
2025-08-14 14:22:32,2025-08-14 14:31:36,IP Address,100,543,True,2025-08-14 14:31:37,R_5pLWS9JUXaQhVxp,anonymous,EN,1,670b51569bc4cb66e1a4bdca,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,which investment strategies yield the highest long-term returns for individual investors,higher -risk investment assets generate significantly higher average returns than lower - risk assets over the long term,5,its fair because the net income was ok,,,,,,,Christopher Davis,Med,FL_44,FL_104,Pre-testSet1
2025-08-14 14:30:57,2025-08-14 14:34:06,IP Address,100,189,True,2025-08-14 14:34:06,R_6OqVmprXuQ8mGMf,anonymous,EN,0.8999999761581421,66dceb449e0e3f3b1f239b3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,1=Very little effort,1=Very little time,2,2,4=Neutral,4=Neutral,4=Neutral,3,4=Neutral,4=Neutral,1=Strongly Disagree,3,3,5,4=Neutral,6,4=Neutral,5,,,,,,Yes,Yes,Yes,It made me question it more. It was all AI so I wasn't sure how much oversight the analyst had.,A bit too long,J.M. Wright,Med,FL_43,FL_126,Pre-testSet2
2025-08-14 14:51:09,2025-08-14 14:58:52,IP Address,100,463,True,2025-08-14 14:58:52,R_7PHqew9lraCciNu,anonymous,EN,0.8999999761581421,66b92d3b18295c1e6c125b85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,5,5,4=Neutral,4=Neutral,3,5,2,2,3,4=Neutral,4=Neutral,5,4=Neutral,4=Neutral,5,4=Neutral,3,5,Do people trust financial reports more or less depending on the report's features  (Doest it include information about the analyst's bio and qualifications? Does it include a general disclaimer? Does it include an AI disclosure?),No good guesses,6,"There are usually more graphs and more detail but for a survey study, it felt very realistic in my opinion.",The report is quite long and there are many follow-up questions in small font so it was a bit of drag at the end to get through it all,,,,,,Christopher Davis,Med,FL_44,FL_116,Pre-testSet1
2025-08-14 14:51:02,2025-08-14 15:07:49,IP Address,100,1006,True,2025-08-14 15:07:50,R_64r7snm7EUu4H3q,anonymous,EN,1,6701206a49833a2065d10763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,4=Average amount of effort,5,7=Strongly agree,6,2,4=Neutral,4=Neutral,5,2,2,7=Strongly agree,2,5,2,7=Strongly agree,4=Neutral,7=Strongly agree,3,,,,,,No,No,Yes,It was neutral.,,Sarah Brown,Med,FL_45,FL_118,Pre-testSet2
