StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Prolific ID,HR_AI_no_no_no,HR_AI_yes_yes_yes,HR_AI_no_yes_yes,HR_AI_yes_no_yes,HR_AI_yes_yes_no,HR_AI_no_no_yes,HR_AI_no_yes_no,HR_AI_yes_no_no,HR_AI_none,HR_Human_no_no_no,HR_Human_yes_yes_yes,HR_Human_no_yes_yes,HR_Human_yes_no_yes,HR_Human_no_no_yes,HR_Human_yes_yes_no,HR_Human_no_yes_no,HR_Human_yes_no_no,HR_Human_none,Med_AI_no_no_no,Med_AI_yes_yes_yes,Med_AI_no_yes_yes,Med_AI_yes_no_yes,Med_AI_yes_yes_no,Med_AI_no_no_yes,Med_AI_no_yes_no,Med_AI_yes_no_no,Med_AI_none,Med_Human_no_no_no,Med_Human_yes_yes_ye,Med_Human_no_yes_yes,Med_Human_yes_no_yes,Med_Human_yes_yes_no,Med_Human_no_no_yes,Med_Human_no_yes_no,Med_Human_yes_no_no,Med_Human_none,Effort_1,Time of preparation_1,Originality and nove_1,Originality and nove_2,Originality and nove_3,Originality and nove_4,Accountability_1,Accountability_2,Accountability_3,Accountability_4,Transparency_1,Transparency_2,Transparency_3,Transparency_4,Reliability_1,Reliability_2,Reliability_3,Reliability_4,Q19,Q20,Q20_4_TEXT,Q21,Q21_8_TEXT,Q22,Q23,Q24,Q25,AnalystName,ReportType,FL_3_DO,FL_5_DO
2025-08-18 10:06:37,2025-08-18 10:11:42,IP Address,100,305,True,2025-08-18 10:11:42,R_2YD7bT3yARj97Mn,anonymous,EN,0.8999999761581421,612adba08b8235b31539c704,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,,,5,5,7=Strongly agree,6,5,4=Neutral,5,4=Neutral,5,5,6,2,5,2,6,2,6,3,1991,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Limited: I have some experience but don't invest often.,Daily or almost daily,Sarah Brown,Med,FL_45,FL_20
2025-08-18 10:04:29,2025-08-18 10:11:51,IP Address,100,442,True,2025-08-18 10:11:51,R_6PbMHe30UjZxJyK,anonymous,EN,1,673b7ef45c9291ade287d5d7,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,4=Neutral,2,2,7=Strongly agree,2,2,6,5,3,4=Neutral,3,4=Neutral,2,3,3,6,1995,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,A few times a week,Sarah Brown,HR,FL_45,FL_15
2025-08-18 10:06:12,2025-08-18 10:11:51,IP Address,100,339,True,2025-08-18 10:11:52,R_8pnWr45tRGcDBs9,anonymous,EN,0.8999999761581421,5d440b524d4b4a001679bdf5,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,5,5,4=Neutral,3,3,6,3,3,5,6,5,2,5,3,5,4=Neutral,5,3,1980,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a month,Sarah Brown,Med,FL_45,FL_108
2025-08-18 10:04:41,2025-08-18 10:11:59,IP Address,100,438,True,2025-08-18 10:11:59,R_3geiGjAENuTjB8C,anonymous,EN,1,60f1019654f6a6ba79823b19,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,6,5,6,6,6,7=Strongly agree,2,2,7=Strongly agree,4=Neutral,6,2,6,2,6,2,1990,Male / Man,,White / Caucasian,,"Production, Transportation, or Skilled Trades","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_110
2025-08-18 10:03:31,2025-08-18 10:12:03,IP Address,100,511,True,2025-08-18 10:12:04,R_2eslSfZG13OTAgg,anonymous,EN,1,6016f0e16f7aec8af4152aa4,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,2,4=Neutral,5,7=Strongly agree,7=Strongly agree,1=Strongly Disagree,1=Strongly Disagree,4=Neutral,2,6,2,4=Neutral,2,4=Neutral,3,1982,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,HR,FL_43,FL_15
2025-08-18 10:04:19,2025-08-18 10:12:04,IP Address,100,465,True,2025-08-18 10:12:05,R_6JIVIljfnVR7mGJ,anonymous,EN,1,5ed543442db0060a955d12e1,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,6,5,2,2,2,6,7=Strongly agree,7=Strongly agree,5,2,1=Strongly Disagree,3,5,2,3,5,1988,Male / Man,,Asian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)",Prefer not to answer,Moderate: I make personal investments from time to time.,Daily or almost daily,Christopher Davis,HR,FL_44,FL_17
2025-08-18 10:03:20,2025-08-18 10:12:06,IP Address,100,526,True,2025-08-18 10:12:06,R_8C311tCqNniVqqP,anonymous,EN,0.800000011920929,664f6568c9b11c6fd890b41c,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,,,,,5,6,4=Neutral,3,5,6,2,2,4=Neutral,4=Neutral,5,4=Neutral,5,2,5,4=Neutral,4=Neutral,5,1982,Female / Woman,,White / Caucasian,,Unemployed or looking for work,"$75,000 to $99,999",None: I have no personal experience with investing.,Less than once a month,Christopher Davis,Med,FL_44,FL_20
2025-08-18 10:04:58,2025-08-18 10:12:07,IP Address,100,428,True,2025-08-18 10:12:07,R_3CC8LIo4S5CKBTz,anonymous,EN,1,62029a55ef1cb18a1337c61a,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,6,4=Neutral,6,6,7=Strongly agree,7=Strongly agree,1=Strongly Disagree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,1998,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,Sarah Brown,HR,FL_45,FL_18
2025-08-18 10:03:50,2025-08-18 10:12:21,IP Address,100,510,True,2025-08-18 10:12:21,R_5n1iv3aB5kPIZgd,anonymous,EN,0.8999999761581421,5e939dee9da60e6d9a56a710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,2,3,4=Neutral,3,5,4=Neutral,6,2,5,5,2,6,4=Neutral,4=Neutral,5,5,4=Neutral,4=Neutral,1996,Male / Man,,Asian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Less than once a month,J.M. Wright,Med,FL_43,FL_124
2025-08-18 10:06:56,2025-08-18 10:12:21,IP Address,100,325,True,2025-08-18 10:12:22,R_2K1NEkal9n20Pgs,anonymous,EN,1,59205fcb97a88c000145d191,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4=Neutral,3,3,5,3,4=Neutral,3,4=Neutral,4=Neutral,3,4=Neutral,4=Neutral,5,3,5,3,1969,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$25,000 to $49,999",Moderate: I make personal investments from time to time.,Less than once a month,Sarah Brown,HR,FL_45,FL_84
2025-08-18 10:06:54,2025-08-18 10:12:23,IP Address,100,329,True,2025-08-18 10:12:24,R_6oyWoDdJzG8H5TW,anonymous,EN,1,57aa0bdb9ff3e900014135d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),5,5,6,3,5,5,2,4=Neutral,5,5,2,4=Neutral,5,4=Neutral,5,3,4=Neutral,5,1988,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_23
2025-08-18 10:09:11,2025-08-18 10:12:27,IP Address,100,196,True,2025-08-18 10:12:28,R_2BaCQzmTKwrkPvU,anonymous,EN,1,59f8868e05d1d60001f1464d,,,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,6,6,5,5,3,4=Neutral,5,5,3,2,5,3,5,2,5,5,5,3,1980,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Limited: I have some experience but don't invest often.,Less than once a month,Sarah Brown,Med,FL_45,FL_21
2025-08-18 10:06:58,2025-08-18 10:12:37,IP Address,100,339,True,2025-08-18 10:12:38,R_5f1Vj2pIxtJq8aE,anonymous,EN,1,60c4e1091b936c7b812e5af4,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,6,6,6,2,4=Neutral,3,5,5,5,2,6,2,6,2,6,6,6,3,1977,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,Less than once a month,Sarah Brown,Med,FL_45,FL_104
2025-08-18 10:03:03,2025-08-18 10:12:38,IP Address,100,574,True,2025-08-18 10:12:38,R_2Ocg6NPIUP3Ttct,anonymous,EN,0.8999999761581421,6883a8504728f57551e8c82b,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,5,3,6,6,6,6,2,2,6,2,5,2,6,3,3,6,1983,Male / Man,,Black or African American,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Christopher Davis,HR,FL_44,FL_16
2025-08-18 10:04:13,2025-08-18 10:12:49,IP Address,100,516,True,2025-08-18 10:12:50,R_2b2EkTS5ULoZzhf,anonymous,EN,1,63d151216ce873774fc3ad58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),4=Average amount of effort,4=Average amount of time,4=Neutral,2,6,6,5,4=Neutral,4=Neutral,5,4=Neutral,5,6,6,5,5,4=Neutral,3,1984,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$150,000 or more",Limited: I have some experience but don't invest often.,A few times a week,Christopher Davis,Med,FL_44,FL_23
2025-08-18 10:03:54,2025-08-18 10:12:51,IP Address,100,537,True,2025-08-18 10:12:52,R_8kYnYonQXX9pQux,anonymous,EN,0.8999999761581421,5e98ccf370194e0f49a1333b,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,4=Neutral,3,3,4=Neutral,3,4=Neutral,3,3,4=Neutral,3,4=Neutral,3,5,2,3,3,1969,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,Less than once a month,Sarah Brown,HR,FL_45,FL_78
2025-08-18 10:05:34,2025-08-18 10:12:55,IP Address,100,441,True,2025-08-18 10:12:56,R_1UPIxOPcdBHUQKd,anonymous,EN,1,5e9f3f09ccc75a0c345e4845,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,5,5,3,3,4=Neutral,4=Neutral,5,5,3,3,5,4=Neutral,5,3,5,4=Neutral,4=Neutral,4=Neutral,1959,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$25,000 to $49,999",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_22
2025-08-18 10:03:01,2025-08-18 10:12:58,IP Address,100,596,True,2025-08-18 10:12:58,R_3ZDKIuvnngQeWkO,anonymous,EN,1,6172f9bf1c90302309a07d38,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,3,5,5,3,4=Neutral,5,3,6,3,4=Neutral,3,6,4=Neutral,4=Neutral,4=Neutral,2002,Male / Man,,Asian,,"Management, Business, or Financial","$75,000 to $99,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Christopher Davis,HR,FL_44,FL_74
2025-08-18 10:06:43,2025-08-18 10:13:00,IP Address,100,376,True,2025-08-18 10:13:00,R_2ke0d7lGbGqHHGE,anonymous,EN,1,67d411652ada0a7584b2558e,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,6,6,6,3,6,6,5,6,2,2,5,2,5,2,6,2,6,2,1994,Male / Man,,Black or African American,,"Management, Business, or Financial","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Daily or almost daily,Christopher Davis,Med,FL_44,FL_100
2025-08-18 10:07:07,2025-08-18 10:13:07,IP Address,100,360,True,2025-08-18 10:13:08,R_1c5vQuOY9rNFuSF,anonymous,EN,1,6720d262ceed23c1ad0be1c7,,,,,,,,,,,,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,3,2,4=Neutral,2,5,6,3,2,7=Strongly agree,6,4=Neutral,4=Neutral,3,5,6,2,5,3,1989,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$50,000 to $74,999",Limited: I have some experience but don't invest often.,A few times a week,Sarah Brown,HR,FL_45,FL_86
2025-08-18 10:03:09,2025-08-18 10:13:08,IP Address,100,599,True,2025-08-18 10:13:08,R_6LYj4pU6UObXZ8l,anonymous,EN,1,6734ab83047e85e2f8795acb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,6,2,5,3,5,5,5,6,2,2,6,2,4=Neutral,2,5,1=Strongly Disagree,6,2,1994,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,Christopher Davis,Med,FL_44,FL_116
2025-08-18 10:03:22,2025-08-18 10:13:09,IP Address,100,586,True,2025-08-18 10:13:09,R_2GwsvROSiwPr5R6,anonymous,EN,1,5a102e9dfdf6fc0001279561,,,,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,6,5,5,3,6,6,5,3,2,2,6,2,6,3,6,3,6,3,1985,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,A few times a month,Christopher Davis,HR,FL_44,FL_86
2025-08-18 10:03:26,2025-08-18 10:13:10,IP Address,100,584,True,2025-08-18 10:13:11,R_2q9yxgzaBFTkfmv,anonymous,EN,0.6000000238418579,67a8fa10b4db1990f7372f01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,6,6,6,1=Strongly Disagree,6,6,4=Neutral,5,2,2,5,2,4=Neutral,5,6,3,5,3,1993,Female / Woman,,Black or African American,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,Med,FL_45,FL_116
2025-08-18 10:04:21,2025-08-18 10:13:12,IP Address,100,530,True,2025-08-18 10:13:13,R_8n0XH7NXRwz2VUZ,anonymous,EN,1,60e0a0f11799deb4297c7eac,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,,5,4=Average amount of time,4=Neutral,2,5,5,3,3,2,3,5,3,4=Neutral,2,6,3,5,4=Neutral,1981,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$50,000 to $74,999",Moderate: I make personal investments from time to time.,A few times a week,J.M. Wright,Med,FL_43,FL_108
2025-08-18 10:03:36,2025-08-18 10:13:12,IP Address,100,576,True,2025-08-18 10:13:13,R_8jGhsB9D8KYWbMl,anonymous,EN,0.30000001192092896,677459c660e284a692d73230,,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,6,6,6,4=Neutral,6,6,7=Strongly agree,4=Neutral,1=Strongly Disagree,1=Strongly Disagree,5,4=Neutral,4=Neutral,4=Neutral,7=Strongly agree,3,5,4=Neutral,1984,Female / Woman,,White / Caucasian,,"Production, Transportation, or Skilled Trades","$25,000 to $49,999",Limited: I have some experience but don't invest often.,Never,J.M. Wright,Med,FL_43,FL_21
2025-08-18 10:02:35,2025-08-18 10:13:15,IP Address,100,640,True,2025-08-18 10:13:16,R_2OuW4qgxBZyqOAP,anonymous,EN,1,5ca0de7d8001d50018c69031,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,6,6,5,2,4=Neutral,5,6,5,5,2,6,4=Neutral,5,3,7=Strongly agree,4=Neutral,3,5,1991,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$50,000 to $74,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,A few times a week,J.M. Wright,Med,FL_43,FL_104
2025-08-18 10:03:18,2025-08-18 10:13:23,IP Address,100,605,True,2025-08-18 10:13:24,R_6ZWb4YsO0xu5pdO,anonymous,EN,1,605bc8caf9e0b0f799baf6da,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,,,,,,3,3,2,6,4=Neutral,5,2,2,5,6,3,6,4=Neutral,4=Neutral,5,4=Neutral,4=Neutral,5,1986,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,Sarah Brown,Med,FL_45,FL_112
2025-08-18 10:04:38,2025-08-18 10:13:23,IP Address,100,524,True,2025-08-18 10:13:24,R_2swsausk2kLncBP,anonymous,EN,1,56f699e876348f000c883bba,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,2,3,3,5,5,1=Strongly Disagree,1=Strongly Disagree,7=Strongly agree,7=Strongly agree,5,4=Neutral,3,4=Neutral,5,3,5,3,1995,Female / Woman,,White / Caucasian,,Office and Administrative Support,"$100,000 to $149,999",Moderate: I make personal investments from time to time.,Less than once a month,J.M. Wright,HR,FL_43,FL_76
2025-08-18 10:03:11,2025-08-18 10:13:27,IP Address,100,616,True,2025-08-18 10:13:27,R_3Sl8lIDAQ1JQtW1,anonymous,EN,1,5eaf1a2c649fd108284c2b5f,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,6,3,3,6,5,6,6,3,2,3,5,5,6,2,5,1975,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,J.M. Wright,HR,FL_43,FL_84
2025-08-18 10:04:39,2025-08-18 10:13:29,IP Address,100,530,True,2025-08-18 10:13:30,R_2FeHVpCgZZlhxDP,anonymous,EN,1,5e1ce5942923360769c7af3a,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,,6,5,4=Neutral,3,5,6,5,5,2,3,5,3,4=Neutral,2,7=Strongly agree,3,4=Neutral,4=Neutral,1989,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Moderate: I make personal investments from time to time.,A few times a week,Christopher Davis,Med,FL_44,FL_102
2025-08-18 10:09:10,2025-08-18 10:13:31,IP Address,100,261,True,2025-08-18 10:13:32,R_7LqsAxkiO07w0M1,anonymous,EN,1,6108708cc133f82c35c00f12,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,6,5,5,5,5,6,5,6,5,5,5,5,5,5,5,1997,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Limited: I have some experience but don't invest often.,A few times a week,J.M. Wright,HR,FL_43,FL_84
2025-08-18 10:08:19,2025-08-18 10:13:32,IP Address,100,312,True,2025-08-18 10:13:32,R_1f39Ctzx9qLp4wL,anonymous,EN,1,5e7b6486b704ac034e3f01c8,,,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,5,7=Extreme amount of time,6,2,6,6,5,6,2,2,6,2,6,2,5,2,6,2,1986,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Extensive: I invest regularly and am comfortable making my own investment decisions.,Daily or almost daily,J.M. Wright,HR,FL_43,FL_92
2025-08-18 10:06:08,2025-08-18 10:13:43,IP Address,100,455,True,2025-08-18 10:13:44,R_5BfDNqD2NHoM92h,anonymous,EN,1,663cc95d57f434efeddcb182,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,6,2,6,6,6,6,2,2,7=Strongly agree,6,6,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,7=Strongly agree,1=Strongly Disagree,1988,Male / Man,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$150,000 or more",Moderate: I make personal investments from time to time.,A few times a month,Sarah Brown,HR,FL_45,FL_74
2025-08-18 10:04:26,2025-08-18 10:13:52,IP Address,100,565,True,2025-08-18 10:13:52,R_2ccLv28jAzTjLfX,anonymous,EN,1,6658d66a5e45cac0aaeb54de,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4=Neutral,4=Neutral,6,5,2,2,6,6,7=Strongly agree,2,7=Strongly agree,1=Strongly Disagree,6,2,7=Strongly agree,1=Strongly Disagree,1991,Female / Woman,,White / Caucasian,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Less than once a month,Sarah Brown,HR,FL_45,FL_82
2025-08-18 10:03:38,2025-08-18 10:14:02,IP Address,100,623,True,2025-08-18 10:14:02,R_5ruDGMDJVetAPNA,anonymous,EN,0.8999999761581421,5f82567f1e720a3842580d23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,7=Extreme amount of effort,7=Extreme amount of time,5,2,6,6,1=Strongly Disagree,1=Strongly Disagree,1=Strongly Disagree,3,5,1=Strongly Disagree,4=Neutral,2,6,3,5,3,1960,Male / Man,,White / Caucasian,,Sales or related,"$50,000 to $74,999",Moderate: I make personal investments from time to time.,A few times a month,J.M. Wright,Med,FL_43,FL_124
2025-08-18 10:06:53,2025-08-18 10:14:04,IP Address,100,431,True,2025-08-18 10:14:05,R_5esHsSscUFInCae,anonymous,EN,1,676e8422294dd6823d5f77e3,,,,,,Hamilton Sterling Group (HSG),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,4=Average amount of time,5,4=Neutral,4=Neutral,4=Neutral,5,5,4=Neutral,3,5,4=Neutral,5,4=Neutral,5,4=Neutral,4=Neutral,4=Neutral,1966,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Limited: I have some experience but don't invest often.,A few times a month,J.M. Wright,HR,FL_43,FL_76
2025-08-18 10:02:43,2025-08-18 10:14:07,IP Address,100,684,True,2025-08-18 10:14:08,R_1KrPOlL8xYT8aRR,anonymous,EN,1,650d91711c0678166dad3304,,,,,,,,,,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,4=Average amount of effort,3,3,5,6,7=Strongly agree,6,5,6,3,5,4=Neutral,2,5,6,4=Neutral,5,3,1993,Male / Man,,White / Caucasian,,Office and Administrative Support,"$75,000 to $99,999",Limited: I have some experience but don't invest often.,A few times a week,Sarah Brown,HR,FL_45,FL_96
2025-08-18 10:04:16,2025-08-18 10:14:10,IP Address,100,593,True,2025-08-18 10:14:10,R_8mkkSsKOw0C1Lam,anonymous,EN,1,67cdb9db623de444e19e6fe6,,,,,,,,,,,,,,,,,,,,Vista Therapeutics (VSTA),,,,,,,,,,,,,,,,,4=Average amount of effort,5,6,5,2,5,2,4=Neutral,6,7=Strongly agree,5,3,5,3,5,6,2,4=Neutral,1969,Female / Woman,,White / Caucasian,,"Management, Business, or Financial","$75,000 to $99,999",Moderate: I make personal investments from time to time.,Daily or almost daily,J.M. Wright,Med,FL_43,FL_112
2025-08-18 10:06:46,2025-08-18 10:14:10,IP Address,100,444,True,2025-08-18 10:14:10,R_8rrKLtK5SjpKBLq,anonymous,EN,0.8999999761581421,67665f7b0329bd3e30515ad2,,,,,,,,,,,,,,,,Apollo Medical (APLO),,,,,,,,,,,,,,,,,,,,,7=Extreme amount of effort,7=Extreme amount of time,6,5,7=Strongly agree,3,1=Strongly Disagree,1=Strongly Disagree,2,5,5,1=Strongly Disagree,6,3,7=Strongly agree,7=Strongly agree,3,7=Strongly agree,1990,Male / Man,,Black or African American,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Limited: I have some experience but don't invest often.,Daily or almost daily,Christopher Davis,HR,FL_44,FL_88
2025-08-18 10:02:47,2025-08-18 10:14:12,IP Address,100,684,True,2025-08-18 10:14:13,R_50tNQIGaAJqZ5F9,anonymous,EN,1,570521cfde5095001018a0c8,,,,,,,,,,,,,,,,,,,,,,,,,Adaptive Vision (ADPT),,,,,,,,,,,,3,3,4=Neutral,5,5,5,1=Strongly Disagree,1=Strongly Disagree,2,3,6,2,2,2,6,4=Neutral,4=Neutral,5,1970,Male / Man,,White / Caucasian,,"Management, Business, or Financial","Less than $25,000",Moderate: I make personal investments from time to time.,A few times a week,Christopher Davis,Med,FL_44,FL_102
2025-08-18 10:06:15,2025-08-18 10:14:14,IP Address,100,478,True,2025-08-18 10:14:14,R_8O2LYqe9J7W2Y2u,anonymous,EN,1,6228bb4a2d9521a055debb4a,,,Kinetic Workforce (KNTC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,4=Neutral,3,3,4=Neutral,5,3,5,5,3,5,4=Neutral,4=Neutral,4=Neutral,5,5,1963,Male / Man,,White / Caucasian,,"Management, Business, or Financial","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,Christopher Davis,HR,FL_44,FL_82
2025-08-18 10:03:45,2025-08-18 10:14:29,IP Address,100,644,True,2025-08-18 10:14:29,R_3n8K9ktxFviI3EO,anonymous,EN,0.8999999761581421,67919517904684e49fc1556b,,,,,,,,,,,,,,,,,,,,,,,,,,Celestial Optics (CELO),,,,,,,,,,,6,6,5,3,5,5,4=Neutral,5,3,5,5,3,4=Neutral,4=Neutral,4=Neutral,4=Neutral,4=Neutral,4=Neutral,1989,Male / Man,,Black or African American,,"Professional (e.g., Science, Technology, Engineering, Law, Healthcare, Education)","$100,000 to $149,999",Moderate: I make personal investments from time to time.,A few times a week,Sarah Brown,Med,FL_45,FL_100
